epoch,accuracy,loss,val_accuracy,val_loss
1,0.1,0.16302175521850587,0.25,0.1432200437784195
2,5.9,0.10249541854858399,21.5,0.06818151623010635
3,48.6,0.04064371418952942,70.125,0.022600446343421936
4,83.1,0.012209952175617218,86.125,0.010247598737478256
5,91.9,0.0051897110193967816,89.625,0.007010387256741524
6,95.0,0.0033069109320640563,91.5,0.005706044547259807
7,96.1,0.0025880895480513573,92.0,0.0051181080006062986
8,96.2,0.0021695630103349688,92.5,0.004597718492150306
9,97.8,0.0017245147936046123,93.25,0.004258038606494665
10,96.7,0.0016834584474563598,93.75,0.004025894533842802




ClassName,Accuracy
cats,95.0
dogs,92.5
